unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume
1640426400,12/25/2021 10:00,BTC/USD,50843.64,50864.51,50578.46,50672.7,45.0451224,2282557.974
1640422800,12/25/2021 9:00,BTC/USD,50928.93,51029.72,50828.16,50843.64,10.1901274,518103.1691
1640419200,12/25/2021 8:00,BTC/USD,50972.17,51016.16,50765.18,50907.26,36.13169907,1839365.799
1640415600,12/25/2021 7:00,BTC/USD,50997.52,51118.58,50867.77,50966.97,12.1326389,618363.8428
1640412000,12/25/2021 6:00,BTC/USD,50900.07,51012.04,50699.82,50997.52,21.91310468,1117513.994
1640408400,12/25/2021 5:00,BTC/USD,50919.43,51056.15,50902.16,50924.13,5.38545735,274249.7302
1640404800,12/25/2021 4:00,BTC/USD,50879.82,51081.64,50841.86,50915.57,13.19428001,671794.2874
1640401200,12/25/2021 3:00,BTC/USD,50817.37,50978.99,50733.11,50883.32,6.27623176,319355.509
1640397600,12/25/2021 2:00,BTC/USD,51019.33,51160.21,50817.37,50817.37,9.74787547,495361.3945
1640394000,12/25/2021 1:00,BTC/USD,51093.58,51123.34,50884.87,51025.94,11.82706826,603487.2754
1640390400,12/25/2021 0:00,BTC/USD,50857.42,51096.89,50656.08,51083.18,55.02242412,2810720.395
1640386800,12/24/2021 23:00,BTC/USD,50775.12,50910,50522.45,50841.48,73.48748449,3736212.473
1640383200,12/24/2021 22:00,BTC/USD,50937.05,50979.33,50601,50800.48,38.618611,1961843.976
1640379600,12/24/2021 21:00,BTC/USD,51129.63,51168.57,50892.46,50923.72,11.70423315,596023.0917
1640376000,12/24/2021 20:00,BTC/USD,51133.76,51257.99,50802.89,51157.97,84.66187344,4331129.582
1640372400,12/24/2021 19:00,BTC/USD,51631.11,51864.56,51116,51169.98,91.63266514,4688841.643
1640368800,12/24/2021 18:00,BTC/USD,51166,51679.9,51140.16,51632.85,87.42204279,4513849.222
1640365200,12/24/2021 17:00,BTC/USD,50966.61,51169.62,50765.1,51168.08,25.56300504,1308009.887
1640361600,12/24/2021 16:00,BTC/USD,51002.81,51260.41,50886,50964.78,45.81427449,2334914.42
1640358000,12/24/2021 15:00,BTC/USD,50721.08,51007,50442.34,50999.93,65.73713513,3352589.29
1640354400,12/24/2021 14:00,BTC/USD,51067.95,51276.28,50681.18,50819,69.63430918,3538745.958
1640350800,12/24/2021 13:00,BTC/USD,51022.86,51190.89,50900,51093.93,65.45984505,3344600.741
1640347200,12/24/2021 12:00,BTC/USD,51015.01,51106.26,50863,51041.82,24.563745,1253778.251
1640343600,12/24/2021 11:00,BTC/USD,51223.86,51487.6,50887.04,51039.25,72.64240091,3707613.661
1640340000,12/24/2021 10:00,BTC/USD,51289.5,51289.5,51114.03,51223.04,24.01942489,1230347.962
1640336400,12/24/2021 9:00,BTC/USD,51101.73,51323.08,51076.94,51292.93,42.03116346,2155901.525
1640332800,12/24/2021 8:00,BTC/USD,51030.11,51210.05,50911.67,51101.73,74.18444241,3790953.346
1640329200,12/24/2021 7:00,BTC/USD,50889.42,51099,50876.12,51023.14,31.90552475,1627920.056
